iter	Passed	Remaining
0	58	58577
1	65	32818
2	71	23658
3	77	19307
4	83	16628
5	88	14610
6	94	13379
7	98	12250
8	103	11410
9	108	10723
10	112	10137
11	117	9665
12	121	9249
13	126	8894
14	130	8591
15	135	8357
16	141	8157
17	146	8016
18	152	7880
19	157	7730
20	163	7608
21	168	7472
22	173	7358
23	178	7268
24	183	7161
25	188	7065
26	193	6988
27	199	6909
28	203	6826
29	211	6841
30	218	6825
31	223	6755
32	230	6766
33	239	6790
34	245	6781
35	252	6770
36	260	6773
37	266	6754
38	274	6761
39	278	6690
40	283	6619
41	288	6577
42	292	6519
43	299	6499
44	303	6447
45	308	6394
46	314	6370
47	318	6317
48	324	6293
49	330	6272
50	336	6267
51	342	6249
52	350	6262
53	356	6242
54	360	6194
55	366	6175
56	372	6156
57	377	6138
58	382	6098
59	389	6096
60	395	6093
61	401	6069
62	406	6051
63	413	6053
64	420	6046
65	426	6041
66	431	6011
67	436	5979
68	440	5950
69	449	5977
70	457	5983
71	464	5981
72	468	5952
73	475	5946
74	479	5918
75	486	5910
76	494	5931
77	499	5902
78	505	5897
79	516	5937
80	523	5941
81	531	5955
82	536	5930
83	541	5907
84	547	5888
85	553	5882
86	558	5862
87	563	5838
88	568	5814
89	574	5808
90	580	5801
91	586	5790
92	592	5778
93	599	5774
94	603	5753
95	608	5732
96	615	5729
97	622	5727
98	626	5701
99	632	5690
100	638	5680
101	644	5670
102	649	5652
103	654	5634
104	660	5630
105	666	5624
106	673	5619
107	677	5599
108	683	5589
109	695	5624
110	699	5605
111	704	5588
112	711	5587
113	716	5569
114	721	5549
115	727	5540
116	731	5519
117	737	5511
118	742	5493
119	746	5475
120	752	5466
121	758	5456
122	765	5456
123	770	5444
124	776	5437
125	781	5422
126	786	5406
127	791	5393
128	798	5391
129	802	5372
130	807	5356
131	813	5352
132	818	5333
133	824	5326
134	830	5319
135	836	5311
136	840	5293
137	846	5284
138	850	5266
139	854	5249
140	858	5231
141	862	5214
142	867	5200
143	873	5193
144	879	5185
145	885	5179
146	889	5163
147	894	5146
148	900	5141
149	904	5127
150	909	5111
151	914	5103
152	922	5106
153	927	5093
154	934	5095
155	939	5084
156	947	5087
157	954	5085
158	961	5084
159	968	5084
160	974	5080
161	981	5074
162	987	5070
163	993	5064
164	999	5057
165	1003	5043
166	1008	5029
167	1014	5023
168	1020	5016
169	1026	5010
170	1032	5004
171	1038	4998
172	1044	4992
173	1050	4986
174	1057	4983
175	1061	4970
176	1067	4963
177	1073	4957
178	1077	4943
179	1084	4938
180	1090	4932
181	1096	4926
182	1102	4919
183	1106	4906
184	1112	4901
185	1118	4895
186	1125	4895
187	1132	4890
188	1138	4884
189	1144	4880
190	1150	4874
191	1157	4871
192	1164	4867
193	1170	4862
194	1176	4856
195	1181	4844
196	1185	4832
197	1190	4820
198	1196	4814
199	1200	4802
200	1206	4796
201	1211	4786
202	1217	4780
203	1227	4790
204	1234	4785
205	1238	4773
206	1244	4769
207	1251	4763
208	1255	4751
209	1261	4745
210	1267	4739
211	1273	4735
212	1278	4724
213	1283	4714
214	1288	4703
215	1295	4703
216	1301	4697
217	1308	4692
218	1314	4686
219	1320	4681
220	1326	4674
221	1330	4663
222	1335	4654
223	1340	4643
224	1344	4632
225	1349	4621
226	1355	4614
227	1361	4609
228	1369	4611
229	1375	4605
230	1381	4600
231	1386	4588
232	1390	4577
233	1396	4570
234	1402	4564
235	1408	4558
236	1420	4574
237	1425	4564
238	1430	4555
239	1437	4550
240	1443	4545
241	1449	4540
242	1455	4535
243	1462	4531
244	1467	4521
245	1475	4521
246	1481	4516
247	1486	4506
248	1491	4497
249	1518	4556
250	1526	4555
251	1531	4546
252	1536	4537
253	1543	4533
254	1550	4530
255	1555	4519
256	1561	4513
257	1565	4502
258	1569	4490
259	1575	4484
260	1581	4477
261	1587	4471
262	1593	4464
263	1597	4454
264	1602	4445
265	1607	4435
266	1611	4424
267	1616	4414
268	1622	4408
269	1628	4402
270	1634	4396
271	1640	4390
272	1646	4385
273	1654	4383
274	1660	4378
275	1667	4374
276	1673	4367
277	1680	4364
278	1687	4359
279	1693	4354
280	1697	4344
281	1703	4336
282	1709	4332
283	1716	4327
284	1722	4321
285	1730	4321
286	1738	4318
287	1742	4308
288	1749	4303
289	1755	4296
290	1761	4290
291	1767	4285
292	1774	4281
293	1780	4276
294	1785	4266
295	1791	4261
296	1798	4256
297	1804	4251
298	1811	4246
299	1815	4236
300	1824	4236
301	1829	4229
302	1837	4226
303	1842	4218
304	1848	4212
305	1853	4202
306	1859	4197
307	1867	4195
308	1872	4186
309	1876	4177
310	1881	4168
311	1886	4159
312	1892	4154
313	1898	4147
314	1904	4141
315	1909	4132
316	1915	4127
317	1920	4118
318	1925	4109
319	1931	4105
320	1942	4109
321	1949	4105
322	1956	4101
323	1963	4096
324	1970	4091
325	1977	4088
326	1982	4080
327	1989	4075
328	1993	4065
329	1999	4059
330	2004	4050
331	2009	4043
332	2015	4036
333	2021	4030
334	2027	4024
335	2034	4020
336	2040	4013
337	2046	4007
338	2052	4002
339	2056	3992
340	2062	3986
341	2069	3980
342	2073	3971
343	2078	3963
344	2084	3958
345	2089	3949
346	2094	3940
347	2098	3931
348	2102	3922
349	2126	3950
350	2132	3942
351	2139	3939
352	2147	3935
353	2151	3927
354	2158	3921
355	2164	3915
356	2169	3907
357	2175	3902
358	2182	3896
359	2187	3888
360	2195	3886
361	2201	3880
362	2208	3875
363	2213	3867
364	2220	3862
365	2225	3854
366	2231	3848
367	2237	3842
368	2242	3833
369	2248	3828
370	2252	3819
371	2258	3813
372	2264	3807
373	2271	3801
374	2276	3793
375	2280	3784
376	2285	3776
377	2291	3770
378	2296	3762
379	2300	3754
380	2305	3745
381	2309	3736
382	2315	3730
383	2322	3725
384	2326	3716
385	2333	3711
386	2337	3702
387	2344	3697
388	2350	3691
389	2354	3683
390	2361	3677
391	2369	3675
392	2374	3667
393	2380	3661
394	2387	3656
395	2392	3648
396	2398	3643
397	2403	3635
398	2409	3629
399	2416	3624
400	2422	3619
401	2427	3610
402	2433	3605
403	2439	3599
404	2445	3593
405	2452	3587
406	2458	3581
407	2464	3575
408	2469	3568
409	2474	3561
410	2481	3556
411	2489	3552
412	2494	3545
413	2501	3540
414	2506	3533
415	2513	3528
416	2520	3524
417	2527	3519
418	2531	3510
419	2538	3505
420	2542	3496
421	2548	3490
422	2554	3484
423	2561	3479
424	2566	3471
425	2572	3465
426	2579	3460
427	2585	3455
428	2589	3447
429	2594	3439
430	2600	3433
431	2606	3427
432	2612	3421
433	2619	3415
434	2625	3410
435	2630	3402
436	2636	3397
437	2643	3391
438	2649	3385
439	2653	3377
440	2658	3369
441	2664	3363
442	2670	3357
443	2675	3350
444	2681	3344
445	2687	3338
446	2692	3330
447	2698	3324
448	2704	3319
449	2710	3313
450	2716	3307
451	2723	3301
452	2728	3295
453	2736	3291
454	2751	3296
455	2758	3290
456	2762	3282
457	2767	3275
458	2772	3267
459	2776	3259
460	2782	3253
461	2789	3247
462	2793	3240
463	2799	3234
464	2804	3226
465	2810	3221
466	2817	3215
467	2821	3207
468	2826	3200
469	2831	3193
470	2838	3187
471	2844	3181
472	2848	3173
473	2854	3168
474	2860	3162
475	2867	3156
476	2873	3150
477	2880	3145
478	2886	3139
479	2892	3133
480	2898	3128
481	2903	3120
482	2910	3115
483	2916	3109
484	2920	3101
485	2925	3094
486	2932	3089
487	2939	3083
488	2943	3076
489	2950	3070
490	2954	3062
491	2959	3055
492	2965	3049
493	2971	3043
494	2977	3038
495	2984	3032
496	2990	3026
497	2996	3020
498	3002	3014
499	3008	3008
500	3018	3006
501	3023	2999
502	3027	2991
503	3037	2989
504	3044	2984
505	3049	2976
506	3055	2971
507	3060	2963
508	3065	2956
509	3069	2949
510	3075	2943
511	3082	2937
512	3089	2933
513	3096	2928
514	3103	2922
515	3109	2917
516	3118	2913
517	3125	2908
